"Header & Timestamp";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"aktualisiert";"2025-10-29";"2025-10-29";"2025-10-29";"2025-10-29";"2025-10-29";"2025-10-29";"2025-10-29";"2025-10-29";"2025-10-29";"2025-10-29";"2025-10-29";"2025-10-29"
"TS_ID";"#999020";"#999011";"#999006";"#999008";"#999009";"#999007";"#999010";"#999014";"#999015";"#999019";"#999016";"#999013"
"ZA";"h";"h";"h";"h";"h";"h";"h";"h";"h";"h";"h";"h"
"KOMP";"Inlandstromverbrauch";"Exporte";"Netto-Stromerzeugung";"Netto-Stromerzeugung";"Netto-Stromerzeugung";"Netto-Stromerzeugung";"Netto-Stromerzeugung";"Netzabgabe";"Stromverbrauch";"Verbrauch f�r Pumpspeicherung (PSP)";"Netzverluste";"Importe"
"Gliederung1";"_";"_";"Hydr";"Hydr";"Kal";"Sonst";"Wind";"_";"_";"_";"_";"_"
"Gliederung2";"_";"_";"Lf";"Sp";"_";"_";"_";"_";"_";"_";"_";"_"
"Gliederung3";"_";"_";"EPL_10+";"EPL_10+";"EPL_10+";"_";"_";"_";"_";"_";"_";"_"
"VO";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr"
"REG";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT"
"N";"Ges";"Oef";"Oef";"Oef";"Oef";"Oef";"Oef";"Oef";"Oef";"Oef";"Oef";"Oef"
"EHB";"M";"M";"M";"M";"M";"M";"M";"M";"M";"M";"M";"M"
"KAT";"V";"V";"A";"A";"A";"A";"A";"V";"V";"V";"V";"A"
"UNIT";"MW";"MW";"MW";"MW";"MW";"MW";"MW";"MW";"MW";"MW";"MW";"MW"
"2016-01-01 00:00:00";;"1830,877";"955,164";"476,915";"949,804";"728,332";"220,481";"5764,492";"6104,931";"606,377";"340,439";"5211,489"
"2016-01-01 01:00:00";;"1622,59";"963,647";"444,981";"893,32";"717,861";"145,347";"5502,152";"5828,187";"1070,695";"326,034";"5356,315"
"2016-01-01 02:00:00";;"1600,008";"959,451";"286,759";"870,2";"730,271";"103,568";"5263,524";"5584,673";"1395,642";"321,149";"5630,073"
"2016-01-01 03:00:00";;"1788,3";"960,32";"312,359";"827,451";"728,394";"49,404";"4965,872";"5275,093";"1519,478";"309,222";"5704,943"
"2016-01-01 04:00:00";;"1589,728";"972,841";"255,855";"786,176";"732,106";"36,382";"4879,441";"5186,813";"1710,504";"307,372";"5703,685"
"2016-01-01 05:00:00";;"1507,007";"973,35";"293,857";"777,2";"730,958";"29,025";"4963,186";"5273,135";"1650,063";"309,948";"5625,813"
"2016-01-01 06:00:00";;"1548,915";"975,036";"343,682";"799,928";"742,995";"28,765";"4977,376";"5283,854";"1629,343";"306,478";"5571,706"
"2016-01-01 07:00:00";;"1577,527";"970,273";"309,196";"815,944";"823,576";"32,89";"5298,142";"5620,001";"1537,753";"321,859";"5783,402"
"2016-01-01 08:00:00";;"1460,204";"964,639";"289,901";"827,537";"784,229";"28,797";"5464,515";"5799,663";"1617,622";"335,148";"5982,386"
"2016-01-01 09:00:00";;"1179,148";"1012,77";"316,981";"925,917";"827,899";"37,458";"5845,505";"6198,898";"1728,836";"353,393";"5985,858"
"2016-01-01 10:00:00";;"1361,754";"1005,747";"265,451";"968,112";"849,657";"42,992";"6177,404";"6540,625";"582,982";"363,222";"5353,403"
"2016-01-01 11:00:00";;"1328,887";"1079,889";"395,82";"1004,714";"876,386";"45,045";"6336,898";"6710,728";"206,777";"373,831";"4844,538"
"2016-01-01 12:00:00";;"1428,336";"1130,012";"746,986";"1008,356";"889,116";"48,907";"6278,75";"6639,335";"172,267";"360,585";"4416,56"
"2016-01-01 13:00:00";;"1299,825";"1081,851";"627,297";"993,923";"885,936";"49,305";"6161,476";"6501,234";"311,969";"339,758";"4474,716"
"2016-01-01 14:00:00";;"1215,205";"1033,15";"419,715";"979,489";"876,582";"55,861";"6095,966";"6437,046";"408,409";"341,081";"4695,863"
