Timestamp;Actual_Consumption;Forecast_Value;Lower_Bound;Upper_Bound
2024-09-30 00:00:00;5130,783;4880,769;4744,227;5017,311
2024-09-30 01:00:00;4918,196;4984,968;4848,426;5121,510
2024-09-30 02:00:00;4851,173;4819,828;4683,286;4956,370
2024-09-30 03:00:00;4796,353;4857,844;4721,302;4994,386
2024-09-30 04:00:00;4974,936;5525,518;5388,976;5662,060
2024-09-30 05:00:00;5680,551;6788,700;6652,158;6925,242
2024-09-30 06:00:00;7031,907;7977,564;7841,022;8114,106
2024-09-30 07:00:00;7720,829;7985,492;7848,950;8122,034
2024-09-30 08:00:00;7835,146;7427,091;7290,549;7563,633
2024-09-30 09:00:00;7641,839;7354,417;7217,875;7490,959
2024-09-30 10:00:00;7466,227;7448,168;7311,626;7584,710
2024-09-30 11:00:00;7229,039;6957,413;6820,871;7093,955
2024-09-30 12:00:00;6853,840;6469,818;6333,276;6606,360
2024-09-30 13:00:00;6664,047;6487,159;6350,617;6623,701
2024-09-30 14:00:00;6622,132;6847,156;6710,614;6983,698
2024-09-30 15:00:00;6696,889;6914,540;6777,998;7051,082
2024-09-30 16:00:00;6929,223;7241,211;7104,669;7377,753
2024-09-30 17:00:00;7311,767;7602,720;7466,178;7739,262
2024-09-30 18:00:00;7638,360;7689,988;7553,446;7826,530
2024-09-30 19:00:00;7658,149;7170,452;7033,910;7306,994
2024-09-30 20:00:00;7128,781;6564,596;6428,054;6701,138
2024-09-30 21:00:00;6580,070;6272,526;6135,984;6409,068
2024-09-30 22:00:00;6252,901;5723,605;5587,063;5860,147
2024-09-30 23:00:00;5767,903;5540,601;5404,059;5677,143
2024-10-01 00:00:00;5590,131;5525,402;5388,860;5661,944
2024-10-01 01:00:00;5372,243;5274,085;5137,543;5410,627
2024-10-01 02:00:00;5283,203;5048,543;4912,001;5185,085
2024-10-01 03:00:00;5192,380;5360,061;5223,519;5496,603
2024-10-01 04:00:00;5313,940;6079,103;5942,561;6215,645
2024-10-01 05:00:00;5929,554;7026,486;6889,944;7163,028
2024-10-01 06:00:00;7256,596;8040,360;7903,818;8176,902
2024-10-01 07:00:00;7890,003;8077,524;7940,982;8214,066
2024-10-01 08:00:00;7970,206;7684,858;7548,316;7821,400
2024-10-01 09:00:00;7875,426;7753,023;7616,481;7889,565
2024-10-01 10:00:00;7732,686;7582,456;7445,914;7718,998
2024-10-01 11:00:00;7510,390;7084,377;6947,835;7220,919
2024-10-01 12:00:00;7248,622;7141,587;7005,045;7278,129
2024-10-01 13:00:00;7211,845;7377,281;7240,739;7513,823
2024-10-01 14:00:00;7012,160;6936,359;6799,817;7072,901
2024-10-01 15:00:00;7202,536;7238,158;7101,616;7374,700
2024-10-01 16:00:00;7390,825;7874,724;7738,182;8011,266
2024-10-01 17:00:00;7639,088;7910,282;7773,740;8046,824
2024-10-01 18:00:00;7808,766;7589,297;7452,755;7725,839
2024-10-01 19:00:00;7766,090;7187,137;7050,595;7323,679
2024-10-01 20:00:00;7298,480;6881,295;6744,753;7017,837
2024-10-01 21:00:00;6728,528;6438,962;6302,420;6575,504
2024-10-01 22:00:00;6359,752;5740,206;5603,664;5876,748
2024-10-01 23:00:00;5861,886;5585,057;5448,515;5721,599
2024-10-02 00:00:00;5535,403;5275,977;5139,435;5412,519
2024-10-02 01:00:00;5269,914;5096,346;4959,804;5232,888
2024-10-02 02:00:00;5205,214;5167,108;5030,566;5303,650
2024-10-02 03:00:00;5097,018;5281,004;5144,462;5417,546
2024-10-02 04:00:00;5264,724;5831,380;5694,838;5967,922
2024-10-02 05:00:00;5859,007;6913,074;6776,532;7049,616
2024-10-02 06:00:00;7132,030;7990,864;7854,322;8127,406
2024-10-02 07:00:00;7910,371;8194,709;8058,167;8331,251
2024-10-02 08:00:00;8199,428;8016,273;7879,731;8152,815
2024-10-02 09:00:00;8152,048;8021,758;7885,216;8158,300
